,1과 영어,1과 뜻,2과 영어,2과 뜻,3과 영어,3과 뜻,4과 영어,4과 뜻,5과 영어,5과 뜻,6과 영어,6과 뜻,7과 영어,7과 뜻,8과 영어,8과 뜻,9과 영어,9과 뜻,10과 영어,10과 뜻,11과 영어,11과 뜻,12과 영어,12과 뜻,13과 영어,13과 뜻,14과 영어,14과 뜻,15과 영어,15과 뜻,16과 영어,16과 뜻,17과 영어,17과 뜻,18과 영어,18과 뜻,19과 영어,19과 뜻,20과 영어,20과 뜻,21과 영어,21과 뜻,22과 영어,22과 뜻,23과 영어,23과 뜻,24과 영어,24과 뜻,25과 영어,25과 뜻
0,additional,"추가적인, 부가의",innate,"타고난, 선천적인",ultimate,"최종의, 궁극적인",shed,"없애다; 흘리다; (빛을) 비추다; 헛간, 광; 차고",adequate,"충분한, 적당한, 적절한",applaud,박수갈채 하다,trigger,"촉발하다, 일으키다; 작동시키다; 도화선, 계기; 방아쇠",equilibrium,"균형, 평정",biodiversity,생물의 다양성,endow,기부하다,pretend,~인 체하다; (사실이 아닌 것을) 주장하다,continual,"거듭되는, 반복되는; 끊임없는, 부단한",behalf,"측, 편; 이익",proficient,"능숙한, 숙달된",tension,"긴장, 긴장 상태",aquarium,수족관,urgent,"긴박한, 다급한",affirm,"단언하다, 확언하다",chunk,(두툼한) 덩어리; 상당히 많은 양,impersonal,"인간미 없는, 냉담한; 개인적인 것이 개입되지 않은",slope,"경사지, 비탈; 경사지다, 기울어지다",vomit,"토하다, 게우다; 구토물",render,"(어떤 상태가 되게) 하다, 만들다; 주다, 제공하다; 표현하다",upstream,상류로,trauma,"정신적 외상, 트라우마; 충격적인 경험"
1,adhere,"들러붙다, 부착되다; 고수하다, 충실히 지키다",advance,"진보, 발전; 전진; 진보하다; 전진하다; (의견을) 제기하다",captive,"사로잡힌, 억류된, 포로가 된; 포로",demand,"요구하다, 필요로 하다; 요구 (사항); 수요; 부담, 어려움",symbolic,"상징적인, 상징하는",refer,"언급하다, 지칭하다; 참조하다",replicate,"모사하다, 복사하다; (바이러스 등이) 자기 복제를 하다",integrate,"통합하다, 통합되다; 융합하다",rigorous,"철저한, 엄격한; 엄한, 혹독한",inform,알려주다; 영향을 미치다,align,"일직선으로 하다, 나란히 하다, 정렬시키다; ~와 제휴하다",necessary,"필요한, 필수적인; 불가피한, 피할 수 없는",manuscript,원고; 필사본,adjust,"조절[조정]하다, 맞추다; 적응하다",mist,옅은 안개; (스프레이 등의) 분무; 부옇게 되다,respond,응답하다; 반응하다,catastrophe,"재앙, 참사",aim,"목표로 삼다, 지향하다; 겨누다; 목표, 목적; 겨냥",garment,"옷, 의복",certificate,"자격증, 수료증, 증명서",surplus,"나머지, 여분, 과잉; 흑자; 과잉의, 잉여의",circumstance,"상황, 환경, 정황",neurological,"신경의, 신경학의",enhance,"(질 · 가치 등을) 높이다, 향상하다",inorganic,무기질의
2,ambitious,"야심 찬, 야망을 품은; (계획 등이) 야심적인",limb,(하나의) 팔다리; (큰) 나뭇가지,calculate,"계산하다, 산출하다; 추정하다",slam,"쾅 닫히다, 쾅 닫다; 쾅 내려놓다; 세게 치다",trait,"(성격적 · 신체적) 특성, 특징",exert,"(있는 힘껏) 노력하다; (영향력을) 행사하다, 발휘하다",deprive,"빼앗다, 박탈하다",summon,호출하다; 소환하다,postpone,"연기하다, 미루다",fallacy,틀린 생각[믿음]; (인식 상의) 오류,hesitate,"망설이다, 머뭇거리다",depart,"떠나다, 출발하다; (직장을) 떠나다, 그만두다",scatter,"(흩)뿌리다; (사람 · 동물 등이) 흩어지다, 흩어지게 하다",prolong,"연장하다, 연장시키다",optimal,"최선의, 최상의, 최적의",automate,(일을) 자동화하다,outrage,"격분하게 만들다; 격분, 격노; 잔인무도한 일",coincidence,우연의 일치; 동시 발생; (생각 등의) 일치,arouse,불러일으키다; 깨우다,incompatible,(성격이) 안 맞는; 양립할 수 없는; 호환이 안 되는,reside,"살다, 거주하다",carrier,수송[운송] 회사; 운반하는 것; 항공모함,physiology,생리학; 생리(生理),vain,"헛된, 소용없는; 허영심이 많은",static,"정적인, 고정된; 잡음; 정전기"
3,identify,"(신원 등을) 확인하다, 알아보다; 동일시하다",breed,"새끼를 낳다, 번식시키다; (문제 등을) 일으키다; 종(種), 품종",specific,"특정한; 구체적인, 명확한; ((~s)) 세부사항",privilege,"특혜, 특전, 특권; 특권을 주다",opportunity,기회,mutual,"상호 간의, 서로의; 공통의, 공동의",complex,복잡한; 복합의; 복합 건물; 콤플렉스,dominate,"지배하다, 주도하다; 우세하다, 우위를 차지하다",avoid,"피하다, 회피하다; 막다",compound,"혼합물, 화합물; 복합체; 복합의, 합성의; (상황을) 악화시키다; 혼합하다",assess,"평가하다, 사정하다; 재다, 가늠하다",tactic,"전술, 전략, 작전",gene,"유전자, 유전 인자",wealth,"부, 재산; 풍부한 양",reserve,"예약하다; 따로 남겨두다; (권한 등을) 보유하다; 비축, 저장물",convey,"(생각 · 감정 등을) 전달하다; 실어 나르다, 운반하다",hypothesis,가설,radioactive,"방사성의, 방사능이 있는",landscape,"풍경, 경치; 풍경화, 산수화; 조경하다",contradict,"반박하다, 부정하다; 모순되다, 상반되다",presence,"(그 자리에) 있음, 존재, 참석",liberate,"해방시키다, 자유롭게 하다",assemble,"모이다, 모으다; 조립하다;",notify,"알리다, 통지하다",crisis,"위기, 최악의 고비"
4,aesthetic,"심미적인, 미학적인, 미적인; 미학",found,"세우다, 설립하다; ~에 기반을 두다",proceed,"계속되다[하다], 진행되다[하다]; 나아가다",suggest,"제안하다; 암시하다, 나타내다",legend,전설; 전설적인 인물; (지도의) 범례,interpret,"(의미를) 해석하다, 이해하다; 통역하다",refund,환불(액); 환불하다,factor,"요소, 요인; (정도를 나타내는) 지수",embarrassed,"당황스러운, 창피한, 쑥스러운",combine,"결합하다, 결합시키다; (두 가지 이상의 특징을) 갖추다, 겸비하다",stare,"빤히 쳐다보다, 응시하다; 빤히 쳐다봄, 응시",comfort,편안함; 위로; 위안을 주는 사람[물건]; 위로하다,cater,(행사에) 맞춤음식을 제공하다,spot,"발견하다, 알아채다; 장소, 지점; 반점",chamber,"회의실; ~실, 방",predict,"예측하다, 예보하다",chief,"주요한, 주된; (직급 등이) 최고위의; 장(長), 우두머리",award,수여하다; 상; 수여,instantaneous,즉각적인,artificial,"인공의, 인조의; 인위적인; 거짓된, 꾸민",adolescent,청소년; 청소년기의,career,"직업; 경력, 이력",premise,(주장의) 전제,decline,"감소하다, 쇠퇴하다; 거절하다; 감소, 하락, 쇠퇴",inspect,"자세히 살피다, 점검하다; 검열하다"
5,animate,"생기를 불어넣다; 만화영화로 만들다; 살아 있는, 생물인",pervade,"만연하다, ~ 전체에 퍼지다",renewable,재생 가능한,mercury,수은,fragment,"파편, 조각; 산산이 부수다, 부서지다",rotate,"회전하다, 회전시키다; 교대하다, 교대시키다",discard,"버리다, 폐기하다",recipient,"받는 사람, 수령인",nerve,"신경; 긴장, 불안; 용기; 용기를 내어 ~하다",impulse,"충동, 욕구; 충격, 자극",persevere,"인내하며 계속하다, 끈기 있게 노력하다",dissolve,"녹다, 녹이다; (조직 등을) 해산시키다, 분해하다",halt,"정지, 중단; 정지시키다, 멈추다",refrain,"삼가다, 자제하다; 자주 반복되는 말; 후렴",theorize,"이론을 제시하다, 이론을 세우다",counteract,"(악영향에) 대항하다, 상쇄하다, (효력을) 중화하다",tyrant,"폭군, 독재자",congestion,혼잡; (충혈 · 울혈 등에 의해) 막힘,erode,"침식되다, 침식시키다; 약화되다, (서서히) 약화시키다",infancy,유아기; (사업 등의) 초창기,roam,"돌아다니다, 배회하다; (시선이) 천천히 훑다",lengthen,"길게 하다, 늘이다",dramatize,"극화하다, 각색하다; 과장하다, 극적으로 보이게 하다",consecutive,"연이은, 연속적인",outweigh,"~보다 더 크다, ~을 능가하다"
6,accomplish,"성취하다, 해내다",deadline,"기한, 마감 시간",incredibly,"믿을 수 없을 정도로, 엄청나게",weave,"(실·천을) 짜다, 엮다; (이야기 등을) 엮다",thorough,"철저한, 빈틈없는, 철두철미한",clinical,"임상의, 임상적인",overload,"과적하다, 너무 많이 부과하다; 지나치게 많음",gradually,"점차적으로, 서서히",sweep,(휩)쓸다; 청소하다; 퍼지다; 쓸기; 훑음,cope,"잘 대처하다, 잘 처리하다",intrinsic,"본질적인, 고유한",immense,"거대한, 어마어마하게 큰",companion,"동반자, 동료, 친구; (쌍을 이루는 것의) 한쪽, 한 짝",defense,"방어, 보호; 변호; 수비",millennium,천 년간,devise,"생각해 내다, 고안하다",substance,"물질; 실체; 요지, 본질",realistic,"현실적인, 현실성 있는; 사실적인, 실제 그대로의",tide,"조수(의 간만), 조류; (여론의) 흐름; 풍조, 경향",depress,우울하게 하다; 침체시키다; 하락시키다,legitimate,"타당한, 합당한; 합법적인",mimic,"흉내 내다, 똑같이 행동하다; 모방자, 흉내쟁이",circular,"원형의, 둥근; 순환하는",nourish,"영양분을 공급하다, 육성하다; (감정 · 생각 등을) 키우다",exotic,"외국의, 이국적인"
7,exhausted,"기진맥진한, 지친; 다 써 버린, 고갈된",regard,"간주하다, 여기다; 고려, 관심; 존경",narrative,"이야기, 서술; 이야기의, 서술적인",offer,"제공하다, 제안하다; 제의, 제안",opposite,정반대(의 것); 정반대의; 맞은편의; ~의 맞은편에,appear,나타나다; ~인 것 같다; (TV 등에) 출연하다,astonished,깜짝 놀란,compare,"비교하다; 비유하다; 필적하다, 비교가 되다",underlying,근본적인; (다른 것의) 밑에 있는,register,"등록하다, 신고하다; (수치 등을) 기록하다; 명부",lyric,"서정시; (노래의) 가사; 서정시의, 가사의",contain,"~이 들어 있다, 포함하다; (감정을) 억누르다",acknowledge,인정하다; 감사를 표하다,budget,예산; 예산안; 예산을 짜다,infection,"(병의) 전염, 감염; 전염병",complete,"완료하다, 끝내다: 완전한, 완벽한; 완료된",harvest,"수확물; 수확, 추수(기); 수확하다, 거둬들이다",appropriate,"적절한, 적합한, 알맞은",sparkling,"반짝이는; 거품이 이는, 탄산이 든; 재기 넘치는",estimate,"평가하다, 추정하다; 추정(치), 평가; 견적서",depict,"(그림으로) 그리다, 묘사하다; (말로) 묘사하다",delight,"기쁨, 즐거움; 기쁨을 주는 것; 기쁘게 하다",interior,내부; 내부의,modify,"변경하다, 수정하다; 수식하다",tremendous,"엄청난, 막대한; 굉장히 훌륭한"
8,marginalize,"하찮은 존재로 만들다, 소외시키다",pressure,"압박, 압력; 기압; 압력을 가하다",artifact,"공예품, 인공물, (과거의) 유물",depth,깊이,summarize,"요약하다, 간추리다",sustain,"유지하다, 지속하다; (무게를) 지탱하다; (손해 · 부상을) 겪다, 입다",neuroscience,신경과학,blend,"섞다, 섞이다, 혼합하다; 혼합, 조합",preconceived,"사전에 형성된, 선입견의",carve,"조각하다, 깎아 만들다; 새기다; (고기를) 썰다",refugee,"난민, 망명자",elevate,"(정도를) 높이다, 고양하다; (들어) 올리다; 승진시키다",intact,"손상되지 않은, 온전한",nominate,지명하다; 임명하다,graze,(가축이) 풀을 먹다; (가축을) 방목하다,faith,"믿음, 신뢰",potent,"강력한, 효력이 뛰어난",exploit,"(부당하게) 이용하다, 착취하다; (자원 등을) 개발하다; 위업, 공적",foremost,"가장 중요한, 으뜸가는; 맨 앞의, 선두의",seal,밀봉[밀폐]하다; 봉[봉인]하다; 도장; 봉인; 물개,surpass,"능가하다, 뛰어넘다",visualize,"마음속에 그려보다, 상상하다",necessitate,~을 필요하게 만들다,inseparable,"뗄 수 없는, 분리할 수 없는",infringe,"위반하다, 침해하다"
9,fossil,화석,rehearse,"리허설하다, 예행연습하다",characterize,"특징이 되다, 특징짓다",vegetarian,채식주의자; 채식의,instinct,"본능, 타고난 소질; 직감",secrete,"분비하다; 감추다, 은닉하다",mammal,포유동물,surge,"밀려들다, 급증하다; 급증, 급등",reluctant,"꺼리는, 마지못한, 망설이는",magnitude,"(엄청난) 규모, 중요도; (지진의) 강도",offense,"위반, 범죄; 무례; 공격",divert,"방향을 바꾸게 하다, 전환하다; (생각을) 다른 데로 돌리다",assert,"주장하다, 단언하다; (권리 등을) 행사하다",rigid,"엄격한; 융통성 없는; 잘 구부러지지 않는, 뻣뻣한",landmark,주요 지형지물; 획기적인 사건,customize,주문 제작하다,neglect,"방치하다, 돌보지 않다; 소홀히 하다, 경시하다; 방치, 돌보지 않음; 소홀, 경시",controversial,논란이 많은,toddler,걸음마를 배우는 아이,intimidate,"위협하다, 겁주다",finance,"재무, 재정; 자금; 자금을 대다",outspoken,노골적으로[거침없이] 말하는,aquatic,"물속에 사는, 수생의",sewage,"하수, 오물",despair,"절망, 체념; 절망하다, 체념하다"
